StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,consent,check_outcome_1_1,check_outcome_2_1,check_opport_2-1_1,check_opport_2-2_1,fairineq_low_1,fairineq_low_2,fairineq_high_1,fairineq_high_2,unfair_fair_1_1,unfair_fair_2_1,important_factors_1_1,important_factors_1_2,important_factors_1_3,important_factors_1_4,important_factors_2_1,important_factors_2_2,important_factors_2_3,important_factors_2_4,check1,art_inf1,art_inf2,art_pers1,art_pers2,income_UK,educ_UK,age,gender,race,pol,citizen,feedback,SC0,RandomCompletionCode,PROLIFIC_PID,STUDY_ID,SESSION_ID,FL_29_DO,FL_11_DO,FL_13_DO,conditions_DO,manipulationcheck1_DO,manipulationcheck2-2_DO,fairness_DO,opportunity_DO,article_informative_DO,article_persuasive_DO
2025-11-13 06:21:53,2025-11-13 06:26:40,IP Address,100,287,True,2025-11-13 06:26:41,R_8zlXUsmNvGi02e5,anonymous,EN,1,Accept,"Large
(10)",,,,,,140,75,"Unfair
(1)",,,,,,,,,,6,Informative,,,Somewhat persuasive,"£60,001–£90,000",Bachelor’s degree or equivalent first degree,47,Male,Asian,,Yes,No more,,4407103,,,,,,,T_fair_high,,,unfair_fair_1,,art_inf1,art_pers2
2025-11-13 06:24:37,2025-11-13 06:27:58,IP Address,100,201,True,2025-11-13 06:27:59,R_2E5SOCQIey4OSqf,anonymous,EN,0.800000011920929,Accept,"Large
(10)",,,,,,150,65,"Unfair
(1)",,,,,,,,,,5,,Informative,,Persuasive,"£35,001–£60,000",Post-secondary Vocational or Technical Training,42,Female,Black or African,,No,,,6332623,,,,,,,T_unfair_high,,,unfair_fair_1,,art_inf2,art_pers2
2025-11-13 06:24:41,2025-11-13 06:27:58,IP Address,100,197,True,2025-11-13 06:27:59,R_2GSENOEBIg3zgMp,anonymous,EN,0.800000011920929,Accept,(9),,,,50,30,,,(2),,,,,,,,,,5,Informative,,Persuasive,,"£20,001–£25,000",Bachelor’s degree or equivalent first degree,64,Male,White,,Yes,Personally I am from a relatively prosperous background but have always worked in the Arts for a pittance...,,6541417,,,,,,,T_unfair_low,,,unfair_fair_1,,art_inf1,art_pers1
2025-11-13 06:34:16,2025-11-13 06:36:49,IP Address,100,153,True,2025-11-13 06:36:50,R_5u2uoVBuW5qC7BL,anonymous,EN,1,Accept,(8),,,,,,155,60,(2),,,,,,,,,,5,Informative,,,Neither persuasive nor not persuasive,"£20,001–£25,000","Graduate or professional degree (e.g., MA, MSc, MBA, JD, MD, PhD)",30,Female,Asian,,Yes,,,9384336,,,,,,,T_unfair_high,,,unfair_fair_1,,art_inf1,art_pers2
2025-11-13 06:37:06,2025-11-13 06:38:26,IP Address,100,79,True,2025-11-13 06:38:26,R_37mPupLGQcOPWnf,anonymous,EN,1,Accept,(8),,,,,,155,60,(2),,,,,,,,,,5,Informative,,,Neither persuasive nor not persuasive,"£20,001–£25,000","Graduate or professional degree (e.g., MA, MSc, MBA, JD, MD, PhD)",30,Female,Asian,,Yes,,,8971874,,,,,,,T_unfair_high,,,unfair_fair_1,,art_inf1,art_pers2
2025-11-13 06:35:42,2025-11-13 06:40:05,IP Address,100,262,True,2025-11-13 06:40:06,R_22Azvi6D8hrPMOW,anonymous,EN,0.6000000238418579,Accept,"Large
(10)",,,,,,150,65,"Unfair
(1)",,,,,,,,,,5,Informative,,,Somewhat persuasive,"£25,001–£35,000",Bachelor’s degree or equivalent first degree,47,Male,Asian,,Yes,,,4465965,,,,,,,T_unfair_high,,,unfair_fair_1,,art_inf1,art_pers2
2025-11-13 06:36:29,2025-11-13 06:51:27,IP Address,100,897,True,2025-11-13 06:51:27,R_8LZMWfLfVEVkzYl,anonymous,EN,0.8999999761581421,Accept,(6),,,,50,30,,,(3),,,,,,,,,,5,,Informative,,Somewhat persuasive,"£35,001–£60,000",Bachelor’s degree or equivalent first degree,40,Male,Black or African,,No,,,8569463,,,,,,,T_unfair_low,,,unfair_fair_1,,art_inf2,art_pers2
2025-11-13 06:51:51,2025-11-13 06:55:55,IP Address,100,244,True,2025-11-13 06:55:56,R_8wtXhGl6sB7x0vQ,anonymous,EN,0,Accept,"Large
(10)",,,,,,150,65,(2),,,,,,,,,,5,Somewhat informative,,Persuasive,,"£35,001–£60,000","Graduate or professional degree (e.g., MA, MSc, MBA, JD, MD, PhD)",38,Male,Asian,,No,,,6772041,,,,,,,T_unfair_high,,,unfair_fair_1,,art_inf1,art_pers1
2025-11-13 06:54:15,2025-11-13 06:56:12,IP Address,100,117,True,2025-11-13 06:56:13,R_8e9cNYUVyKCFlNc,anonymous,EN,1,Accept,(4),,,,70,10,,,(3),,,,,,,,,,5,Somewhat uninformative,,,Not Persuasive,"£90,001–£130,000","Graduate or professional degree (e.g., MA, MSc, MBA, JD, MD, PhD)",60,Male,White,,Yes,,,4151370,,,,,,,T_unfair_low,,,unfair_fair_1,,art_inf1,art_pers2
2025-11-13 06:56:03,2025-11-13 06:58:27,IP Address,100,143,True,2025-11-13 06:58:27,R_2eWDEGogljUmOfy,anonymous,EN,1,Accept,(8),,,,,,175,40,(4),,,,,,,,,,5,,Informative,Persuasive,,"£35,001–£60,000",Secondary School (Completed),63,Male,White,,Yes,,,4985208,,,,,,,T_unfair_high,,,unfair_fair_1,,art_inf2,art_pers1
2025-11-13 06:56:41,2025-11-13 06:58:42,IP Address,100,120,True,2025-11-13 06:58:42,R_2xLDmeIJCMzRB9Q,anonymous,EN,0.10000000149011612,Accept,"Large
(10)",,,,,,150,65,(2),,,,,,,,,,5,,Somewhat informative,Somewhat persuasive,,"£35,001–£60,000","Graduate or professional degree (e.g., MA, MSc, MBA, JD, MD, PhD)",38,Male,Asian,,Yes,,,6500781,,,,,,,T_fair_high,,,unfair_fair_1,,art_inf2,art_pers1
2025-11-13 06:56:00,2025-11-13 06:59:04,IP Address,100,184,True,2025-11-13 06:59:05,R_830YncOdw8yK3OV,anonymous,EN,0.6000000238418579,Accept,,,,,,,120,95,"Unfair
(1)",,,,,,,,,,5,Extremely informative,,Persuasive,,"£25,001–£35,000",Post-secondary Academic Qualification (Did not Complete Degree),42,Male,Black or African,,Yes,,,6750122,,,,,,,T_unfair_high,,,unfair_fair_1,,art_inf1,art_pers1
2025-11-13 06:57:15,2025-11-13 07:00:12,IP Address,100,177,True,2025-11-13 07:00:13,R_800uczdXmfURV4K,anonymous,EN,1,Accept,(7),,,,40,40,,,(3),,,,,,,,,,5,Informative,,Persuasive,,"£10,001–£15,000",Bachelor’s degree or equivalent first degree,66,Female,White,,Yes,,,1128080,,,,,,,T_unfair_low,,,unfair_fair_1,,art_inf1,art_pers1
2025-11-13 06:54:51,2025-11-13 07:02:50,IP Address,100,479,True,2025-11-13 07:02:50,R_2Rec3C1RZv73EHY,anonymous,EN,1,Accept,(8),,,,45,35,,,(6),,,,,,,,,,5,,Informative,,Persuasive,"£25,001–£35,000",Bachelor’s degree or equivalent first degree,35,Male,Black or African,,No,,,3053687,,,,,,,T_fair_low,,,unfair_fair_1,,art_inf2,art_pers2
2025-11-13 06:59:58,2025-11-13 07:04:02,IP Address,100,244,True,2025-11-13 07:04:03,R_8QlvuWAiV2I7qBA,anonymous,EN,1,Accept,"Large
(10)",,,,,,160,55,(2),,,,,,,,,,5,,Somewhat informative,Persuasive,,"£35,001–£60,000",Bachelor’s degree or equivalent first degree,60,Female,White,,Yes,,,8293880,,,,,,,T_unfair_high,,,unfair_fair_1,,art_inf2,art_pers1
2025-11-13 07:04:16,2025-11-13 07:06:50,IP Address,100,154,True,2025-11-13 07:06:50,R_4wSr5uHEluJXw9K,anonymous,EN,1,Accept,(8),,,,,,140,75,(2),,,,,,,,,,5,,Extremely informative,,Persuasive,"£10,000 or less",Bachelor’s degree or equivalent first degree,20,Female,Asian,,No,,,6443470,,,,,,,T_fair_high,,,unfair_fair_1,,art_inf2,art_pers2
2025-11-13 07:08:02,2025-11-13 07:10:31,IP Address,100,148,True,2025-11-13 07:10:32,R_8uG7VSBJrGUeKbv,anonymous,EN,1,Accept,(7),,,,60,20,,,(6),,,,,,,,,,5,Somewhat uninformative,,,Not persuasive at all,"£10,001–£15,000",Bachelor’s degree or equivalent first degree,69,Female,White,,Yes,The article was completely biased and not based on evidence,,4156838,,,,,,,T_unfair_low,,,unfair_fair_1,,art_inf1,art_pers2
2025-11-13 07:02:12,2025-11-13 07:11:46,IP Address,100,574,True,2025-11-13 07:11:47,R_8Kp6KjiuthGgQTL,anonymous,EN,0.699999988079071,Accept,(8),,,,,,125,90,(2),,,,,,,,,,5,Somewhat informative,,,Neither persuasive nor not persuasive,"£15,001–£20,000",Post-secondary Vocational or Technical Training,78,Female,White,,Yes,no comments,,7110692,,,,,,,T_unfair_high,,,unfair_fair_1,,art_inf1,art_pers2
2025-11-13 07:09:05,2025-11-13 07:12:08,IP Address,100,182,True,2025-11-13 07:12:09,R_80OL96DHw2A63CU,anonymous,EN,1,Accept,"Large
(10)",,,,,,143,72,"Unfair
(1)",,,,,,,,,,5,Neither informative nor not informative,,Neither persuasive nor not persuasive,,"£130,001 or more",Bachelor’s degree or equivalent first degree,24,Female,Black or African,,Yes,,,3413524,,,,,,,T_unfair_high,,,unfair_fair_1,,art_inf1,art_pers1
2025-11-13 07:06:34,2025-11-13 07:13:24,IP Address,100,410,True,2025-11-13 07:13:24,R_2HgBxOsk2AOL0op,anonymous,EN,1,Accept,"Large
(10)",,,,50,30,,,(4),,,,,,,,,,5,Uninformative,,Neither persuasive nor not persuasive,,"£25,001–£35,000",Bachelor’s degree or equivalent first degree,58,Female,Another group,,Yes,,,5336016,,,,,,,T_unfair_low,,,unfair_fair_1,,art_inf1,art_pers1
2025-11-13 07:10:18,2025-11-13 07:14:16,IP Address,100,237,True,2025-11-13 07:14:16,R_87TpOBMvx6CvSjM,anonymous,EN,1,Accept,(9),,,,,,150,65,(2),,,,,,,,,,5,Neither informative nor not informative,,,Persuasive,"£10,001–£15,000",Bachelor’s degree or equivalent first degree,40,Female,Asian,,Yes,,,9959694,,,,,,,T_unfair_high,,,unfair_fair_1,,art_inf1,art_pers2
2025-11-13 07:10:35,2025-11-13 07:14:44,IP Address,100,248,True,2025-11-13 07:14:44,R_2k7ff3HJozB57jB,anonymous,EN,0.8999999761581421,Accept,"Large
(10)",,,,,,115,100,(2),,,,,,,,,,5,Informative,,Neither persuasive nor not persuasive,,"£35,001–£60,000","Graduate or professional degree (e.g., MA, MSc, MBA, JD, MD, PhD)",64,Male,White,,Yes,No comments,,7953270,,,,,,,T_fair_high,,,unfair_fair_1,,art_inf1,art_pers1
2025-11-13 07:14:32,2025-11-13 07:15:50,IP Address,100,77,True,2025-11-13 07:15:50,R_2Iq60olx1CQTiUN,anonymous,EN,1,Accept,(9),,,,,,160,55,(2),,,,,,,,,,5,Neither informative nor not informative,,Neither persuasive nor not persuasive,,"£10,001–£15,000",Bachelor’s degree or equivalent first degree,49,Female,Asian,,Yes,no,,4153643,,,,,,,T_unfair_high,,,unfair_fair_1,,art_inf1,art_pers1
2025-11-13 07:11:00,2025-11-13 07:17:50,IP Address,100,410,True,2025-11-13 07:17:51,R_8kBugDXew54a9qg,anonymous,EN,1,Accept,(7),,,,50,30,,,"Unfair
(1)",,,,,,,,,,5,Extremely informative,,Persuasive,,"£20,001–£25,000",Bachelor’s degree or equivalent first degree,64,Female,White,,Yes,,,3072063,,,,,,,T_unfair_low,,,unfair_fair_1,,art_inf1,art_pers1
2025-11-13 07:12:26,2025-11-13 07:18:18,IP Address,100,351,True,2025-11-13 07:18:18,R_2cwnmY8PYCLNCds,anonymous,EN,1,Accept,"Large
(10)",,,,,,107,108,"Unfair
(1)",,,,,,,,,,5,Extremely informative,,,Extremely persuasive,"£60,001–£90,000",Bachelor’s degree or equivalent first degree,65,Male,White,,Yes,,,3775135,,,,,,,T_unfair_high,,,unfair_fair_1,,art_inf1,art_pers2
2025-11-13 07:11:44,2025-11-13 07:19:58,IP Address,100,494,True,2025-11-13 07:19:58,R_2zPlQrbHppH118o,anonymous,EN,1,Accept,"Large
(10)",,,,,,125,90,"Unfair
(1)",,,,,,,,,,5,Extremely informative,,,Extremely persuasive,"£25,001–£35,000",Post-secondary Vocational or Technical Training,65,Male,White,,Yes,"Fewer opportunies in the lower bracket means that many of the most skilled in society are missed due to class and even the area in which you live.  Your upbringing should not affect the opportunities to get on in life.  Everyone should have an equal chance to get the best, most well paid jobs, due to ability, not privilage.",,6044086,,,,,,,T_unfair_high,,,unfair_fair_1,,art_inf1,art_pers2
2025-11-13 07:41:20,2025-11-13 07:43:41,IP Address,100,141,True,2025-11-13 07:43:42,R_22brz4VeNhDbn5M,anonymous,EN,1,Accept,"Large
(10)",,,,,,150,65,(2),,,,,,,,,,5,Somewhat informative,,Somewhat persuasive,,"£20,001–£25,000",Bachelor’s degree or equivalent first degree,64,Male,White,,Yes,,,7398398,,,,,,,T_unfair_high,,,unfair_fair_1,,art_inf1,art_pers1
2025-11-13 07:30:11,2025-11-13 07:52:23,IP Address,100,1332,True,2025-11-13 07:52:24,R_2ClwNgdPUFs6wwZ,anonymous,EN,1,Accept,"Large
(10)",,,,,,150,65,(2),,,,,,,,,,5,,Informative,,Somewhat persuasive,"£35,001–£60,000",Bachelor’s degree or equivalent first degree,60,Male,White,,Yes,"No thank you ",,5380297,,,,,,,T_unfair_high,,,unfair_fair_1,,art_inf2,art_pers2
2025-11-13 07:57:11,2025-11-13 08:01:34,IP Address,100,262,True,2025-11-13 08:01:34,R_8TAkjyqdHLpG4qm,anonymous,EN,1,Accept,(8),,,,50,30,,,(2),,,,,,,,,,5,,Informative,Somewhat persuasive,,"£60,001–£90,000","Graduate or professional degree (e.g., MA, MSc, MBA, JD, MD, PhD)",,Female,Hispanic or Latino/a/x,,No,,,3162162,,,,,,,T_fair_low,,,unfair_fair_1,,art_inf2,art_pers1
2025-11-13 08:00:58,2025-11-13 08:09:08,IP Address,100,490,True,2025-11-13 08:09:09,R_1eX3X8rVmLAmJHr,anonymous,EN,0.800000011920929,Accept,(4),,,,50,30,,,(6),,,,,,,,,,5,,Informative,,Persuasive,"£10,000 or less",Post-secondary Academic Qualification (Did not Complete Degree),49,Male,Black or African,,Yes,,,1355425,,,,,,,T_fair_low,,,unfair_fair_1,,art_inf2,art_pers2
2025-11-13 08:07:59,2025-11-13 08:12:11,IP Address,100,251,True,2025-11-13 08:12:11,R_2oTvFHbTp1tVaZh,anonymous,EN,1,Accept,(9),,,,50,30,,,"Unfair
(1)",,,,,,,,,,5,,Informative,,Somewhat persuasive,"£35,001–£60,000","Graduate or professional degree (e.g., MA, MSc, MBA, JD, MD, PhD)",50,Male,White,,Yes,interesting survey,,3814154,,,,,,,T_unfair_low,,,unfair_fair_1,,art_inf2,art_pers2
2025-11-13 08:19:29,2025-11-13 08:27:14,IP Address,100,465,True,2025-11-13 08:27:14,R_2HdFpMB2aP0zp35,anonymous,EN,0.8999999761581421,Accept,(9),,,,,,185,30,(2),,,,,,,,,,5,Uninformative,,Not persuasive at all,,"£20,001–£25,000",Post-secondary Academic Qualification (Did not Complete Degree),70,Male,White,,Yes,,,9562265,,,,,,,T_unfair_high,,,unfair_fair_1,,art_inf1,art_pers1
2025-11-13 08:19:54,2025-11-13 08:27:39,IP Address,100,464,True,2025-11-13 08:27:39,R_8EX7RZzp6zcPhlX,anonymous,EN,1,Accept,(9),,,,,,150,65,(2),,,,,,,,,,5,,Informative,,Persuasive,"£35,001–£60,000",Post-secondary Vocational or Technical Training,61,Male,White,,Yes,I'm not complaining that it wasn't involved enough but i would have liked the opportunity to expand on the thoughts a bit,,6411003,,,,,,,T_unfair_high,,,unfair_fair_1,,art_inf2,art_pers2
